category,subcategory,code,name,type,meaning,question,cleaning_plan,cleaning_actual,new_variable
1,WF_e,WF1,search_job_way,factor,"0 = Notice boards, 1 = TV advertisement, 2 = Newspaper advertisement, 3 = Radio advertisement, 4 = Internet advertisement, 5 = Family told me a job opportunity, 6 = Friends told me a job opportunity, 7 = Job brokers/agencies told me a job opportunity, 8 = others",How did you know about this job? Select all that apply.,"generate new variables: whether you learned the job from friends, or family",done,"family_told_job, friend_told_job"
1,WF_e,WF1o,search_job_way_other,character,If they chose the other option in WF1,"If you choose ""Others"", please explain",,,
1,WF_e,WF1_5,search_job_way_5,factor,"0 = Family did not tell me about the job, 1 = Family told me about the job",How did you know about this job? Select all that apply.,,done,family_told_job
1,WF_e,WF1_6,search_job_way_6,factor,"0 = Friends did not tell me about the job, 1 = Friends told me about the job",How did you know about this job? Select all that apply.,,done,friend_told_job
1,WF_e,WF1b,search_job_day,integer,Number of days individual spent looking for a job,How many days did you spend on job search in the last week?,,,
1,WF_e,WF1c,search_job_hour,integer,Number of hours individual spent looking for a job,How much time did you spend on job search every day when you search for jobs? (Hours),,,
1,WF_e,WF1c(d),search_job_min,integer,Number of mins individual spent looking for a job,How much time did you spend on job search every day when you search for jobs? (Minutes),,,
1,WF_e,WF2,income_total,numeric,Income received last month not from family or friends,"How much total income did you receive last month, not including additional income from family or friends?",,,
1,WF_e,WF3,income_from_family,numeric,Income received last month from family or friends,How much additional income did you receive from your family and friends last month?,,,
1,WF_e,WF4,income_from_friend,numeric,Income borrowed last month not from family or friends,How much additional income did you borrow from any other people that are not family or friends last month?,,,
1,WF_e,WF5,income_to_family,factor,"0 = No, 1 = Yes, 100 = Not Sure",Do you plan to send some money back to your family after you start working?,,,
1,WF_e,WF6,expend_food,numeric,Expenditure on food,How much did you spend on food and drinks in total in the last week?,,,
1,WF_e,WF7,expend_transp,numeric,Expenditure on transportation,How much did you spend on transportation and communication in total in the last week?,,,
1,WF_e,WF8,expend_rent,numeric,Expenditure on rent,How much do you need to pay for rent every month?,,,
1,WF_e,WF9,expend_cosmetic,numeric,Expenditure on cosmetics,"How much did you spend on other items in total in the last week, for example, cosmetics supplies?",,,
1,WF_e,WF10,health_nofood,factor,"0 = No, 1 = Yes",Have you faced a situation in the last month when you did not have enough food?,,,
1,WF_e,WF11,health_ill,factor,"0 = No, 1 = Yes",Have you suffered from an illness or injury in the last month?,,,
1,WF_e,WF12,income_target,numeric,Amount of income earned in the next month,How much total income do you aim to earn in the next month?,,,
1,WF_e,WF13,expend_target,numeric,Amount of expenditure in the next month,How much total expenditure do you estimate to spend in the next month?,,,
1,JH_e,JH1,history_yesno,factor,"0 = No, 1 = Yes",Is this your first job ever?,,,
1,JH_e,JH2,history_age,integer,Age the individual started to work,Since what age did you start working?,,,
1,JH_e,JH3a,history_manual,factor,"0 = No, 1 = Yes",Have you worked in a garment factory before?,,,
1,JH_e,JH4,history_salary,numeric,Monthly salary the individual made most recently,"In your most recent job, what is the MONTHLY SALARY?",,,
1,JH_e,JH5,history_hour,integer,Hours per day the individual was working,"In your most recent job, how many hours per day did you need to work?",,,
1,JH_e,JH6,history_day,integer,Days per week the individual was working,"In your most recent job, how many days per WEEK did you need to work?",,,
1,JH_e,JH7,history_quitreason,factor,"0 = Because the firm fired me., 1 = Because the job was not interesting., 2 = Because the job did not pay well., 3 = Because the job was very tiring, 5 = Because the job did not provide good benefits., 6 = Because the employer treated me badly., 100 = Others",Why did you leave your most recent job? Select all that apply.,,,
